country,cell_towers,GSM,CDMA,UMES,LTE
R̩union,16914,6160,0,8914,1840
Saint Kitts and Nevis,308,125,0,162,21
Saint Lucia,849,217,0,428,204
Saint Pierre and Miquelon,12,11,0,0,1
Saint Vincent and the Grenadin,221,107,0,114,0
Sao Tome and Principe,153,61,0,92,0
Saudi Arabia,379083,66193,0,202005,110885
Senegal,34110,17925,0,13926,2259
Seychelles,808,332,0,374,102
Sierra Leone,1845,833,0,986,26
Singapore,103555,9045,0,52095,41965
Slovakia,86904,39855,0,31330,15719
Slovenia,47947,15752,0,22702,9493
Solomon Islands,111,30,0,80,1
Somalia,3219,1439,0,1407,373
South Africa,578635,150882,2,282403,145344
South Korea,875330,118,41,98561,776610
Spain,1052759,222155,0,612530,217902
Sri Lanka,47842,15688,0,27044,5110
Sudan,17558,7872,0,8864,822
Suriname,5504,1343,0,2802,1359
Swaziland,2297,960,0,1249,88
Sweden,488296,77693,0,252481,158119
Switzerland,283621,75201,0,125594,82825
Syria,15514,10207,0,4842,465
Taiwan,480517,76340,16,245014,159146
Tajikistan,10020,3069,0,5453,1498
Tanzania,63338,44243,0,17491,1604
Thailand,1309175,114006,0,865649,329514
Togo,6350,2487,0,3852,11
Tonga,258,53,0,66,139
Trinidad and Tobago,16464,5960,0,10011,493
Tunisia,73474,24338,0,42629,6507
Turkey,644582,79302,0,472016,92912
Turkmenistan,6351,2878,0,3443,30
Turks and Caicos Islands,554,239,0,239,76
Tuvalu,1,1,0,0,0
Uganda,60251,40491,0,17161,2599
Ukraine,348952,169263,0,154542,25147
United Arab Emirates,188990,38346,0,109498,41146
United Kingdom,1706830,328071,0,988984,389746
United States of America,7485685,290358,604579,1624419,4943799
Uruguay,25582,5814,0,16105,3663
Uzbekistan,15231,9128,0,4404,1699
Vanuatu,558,281,0,222,55
Venezuela,100715,27641,259,69166,3649
Vietnam,300512,133677,128,150000,16703
Yemen,3291,2944,121,143,83
Zambia,37746,29473,0,7380,892
Zimbabwe,24659,13247,2,9884,1526
